target_id;synonym;kind;note
12.4;hazardous waste;subject;The target's own words.
12.4;chemical releases to air water and soil;subject;The target's own words.
12.4;Basel Convention;policy;One of the international frameworks the target names.
12.5;waste prevention;subject;The target's own subject.
12.5;recycling;subject;Named in the target.
12.5;reuse;subject;Named in the target.
12.5;circular economy;policy;The EU instrument for waste reduction through reuse and recycling.
12.5;waste valorisation;domain;The processing route behind recycling.
12.6;corporate sustainability reporting;subject;The target's own subject.
12.7;sustainable public procurement;subject;The target's own subject.
12.7;green public procurement;policy;The EU term for the same.
12.8;awareness for sustainable lifestyles;subject;The target's own subject.
12.a;scientific capacity for sustainable consumption;subject;The target's own subject.
12.b;sustainable tourism monitoring;subject;The target's own subject.
12.c;fossil-fuel subsidies;subject;The target's own subject.
13.1;climate resilience;subject;The target's own subject.
13.1;adaptive capacity;subject;The target's own words.
13.1;climate-related hazards;subject;The target's own words.
13.1;climate adaptation;domain;The field name for this target.
13.1;natural disasters;subject;Named in the target.
13.2;climate change policy;subject;The target's own subject.
13.2;nationally determined contributions;domain;The instrument through which climate measures enter national planning.
13.2;climate mitigation;domain;The field name for the measures this target integrates.
13.2;greenhouse gas emissions reduction;domain;The substance of climate measures.
13.2;decarbonisation;domain;"As ""climate mitigation""."
13.2;net zero;domain;"As ""climate mitigation""."
13.3;climate education and awareness;subject;The target's own subject.
13.3;climate literacy;domain;Ordinary term for the same.
13.3;early warning for climate;subject;Named in the target.
13.a;Green Climate Fund;policy;Named in the target.
13.a;climate finance;subject;The target's own subject.
13.b;climate planning capacity in least developed countries;subject;The target's own subject.
14.1;marine pollution;subject;The target's own subject.
14.1;marine litter;subject;Named in the target.
14.1;nutrient pollution;subject;Named in the target.
14.1;eutrophication;domain;The process behind nutrient pollution.
14.1;microplastics;domain;A principal form of marine litter in current research.
14.2;marine ecosystem management;subject;The target's own subject.
14.2;coastal ecosystem restoration;subject;The target's own words.
14.2;ocean health;subject;The target's own words.
14.3;ocean acidification;subject;The target's own subject.
14.4;overfishing;subject;Named in the target.
14.4;illegal unreported and unregulated fishing;subject;Named in the target.
14.4;IUU fishing;acronym;Acronym for the above.
14.4;fish stocks;subject;The target's own words.
14.4;maximum sustainable yield;subject;Named in the target.
14.5;marine protected areas;subject;The target's own subject.
14.5;coastal and marine conservation;subject;The target's own words.
14.6;fisheries subsidies;subject;The target's own subject.
14.7;sustainable use of marine resources;subject;The target's own subject.
14.7;small island developing states economies;subject;The target's own words.
14.a;marine technology;subject;The target's own subject.
14.a;marine scientific research;subject;The target's own words.
14.a;Intergovernmental Oceanographic Commission;policy;Named in the target.
14.b;small-scale artisanal fishers;subject;The target's own subject.
14.c;United Nations Convention on the Law of the Sea;policy;Named in the target.
14.c;UNCLOS;acronym;Acronym for the above.
15.1;terrestrial ecosystems;subject;The target's own subject.
15.1;freshwater ecosystems;subject;The target's own subject.
15.1;wetlands;subject;Named in the target, shared with 6.6.
15.1;ecosystem restoration;domain;The field name for this target's action.
15.2;sustainable forest management;subject;The target's own subject.
15.2;deforestation;subject;Named in the target.
15.2;reforestation;subject;Named in the target.
15.2;afforestation;subject;Named in the target.
15.3;desertification;subject;Named in the target.
15.3;land degradation;subject;The target's own subject.
15.3;soil restoration;subject;The target's own words.
15.3;land degradation neutrality;domain;The measured form named in the target.
15.4;mountain ecosystems;subject;The target's own subject.
15.4;mountain biodiversity;subject;The target's own words.
15.5;biodiversity loss;subject;The target's own subject.
15.5;habitat degradation;subject;The target's own words.
15.5;threatened species;subject;The target's own words.
15.5;species extinction;subject;The target's own words.
15.6;genetic resources access and benefit-sharing;subject;The target's own subject.
15.6;Nagoya Protocol;policy;The instrument implementing this target.
15.7;poaching;subject;Named in the target.
15.7;wildlife trafficking;subject;Named in the target.
15.8;invasive alien species;subject;The target's own subject.
15.9;biodiversity in national planning;subject;The target's own subject.
15.9;natural capital accounting;domain;The mechanism for integrating ecosystem values into accounts.
15.a;biodiversity finance;subject;The target's own subject.
15.b;forest management finance;subject;The target's own subject.
15.c;capacity to combat poaching;subject;The target's own subject.
16.1;violence reduction;subject;The target's own subject.
16.1;homicide rates;subject;The target's own words.
16.2;violence against children;subject;The target's own subject.
16.2;child exploitation;subject;Named in the target.
16.2;child trafficking;subject;Named in the target.
16.3;rule of law;subject;The target's own subject.
16.3;access to justice;subject;The target's own subject.
16.4;illicit financial flows;subject;The target's own subject.
16.4;arms trafficking;subject;Named in the target.
16.4;stolen asset recovery;subject;The target's own words.
16.4;organized crime;subject;Named in the target.
16.5;corruption;subject;The target's own subject.
16.5;bribery;subject;Named in the target.
16.6;accountable institutions;subject;The target's own subject.
16.6;transparent institutions;subject;The target's own words.
16.7;participatory decision-making;subject;The target's own subject.
16.7;inclusive decision-making;subject;The target's own words.
16.8;participation of developing countries in global governance;subject;The target's own subject.
16.9;legal identity;subject;The target's own subject.
16.9;birth registration;subject;Named in the target.
16.10;public access to information;subject;The target's own subject.
16.10;fundamental freedoms;subject;The target's own words.
16.10;freedom of expression;domain;The principal fundamental freedom at issue.
16.a;capacity to prevent violence;subject;The target's own subject.
16.b;non-discriminatory laws;subject;The target's own subject.
17.1;domestic resource mobilization;subject;The target's own subject.
17.1;tax collection capacity;subject;The target's own words.
17.2;official development assistance commitments;subject;The target's own subject. The span is long, so these synonyms carry it.
17.2;ODA to gross national income;subject;The indicator the target names.
17.3;additional financial resources for developing countries;subject;The target's own subject.
17.4;debt sustainability;subject;The target's own subject.
17.4;debt relief;subject;The target's own words.
17.5;investment promotion regimes;subject;The target's own subject.
17.6;science and technology cooperation;subject;The target's own subject.
17.6;knowledge sharing;subject;The target's own words.
17.6;technology facilitation mechanism;policy;Named in the target.
17.7;environmentally sound technologies transfer;subject;The target's own subject.
17.8;technology bank;subject;Named in the target.
17.8;enabling technology capacity-building;subject;The target's own words.
17.9;capacity-building for the sustainable development goals;subject;The target's own subject.
17.10;multilateral trading system;subject;The target's own subject.
17.10;World Trade Organization;policy;Named in the target.
17.11;developing country exports;subject;The target's own subject.
17.12;duty-free market access;subject;The target's own subject.
17.13;global macroeconomic stability;subject;The target's own subject.
17.14;policy coherence for sustainable development;subject;The target's own subject.
17.15;national policy space;subject;The target's own subject.
17.16;global partnership for sustainable development;subject;The target's own subject.
17.17;public-private partnerships;subject;The target's own subject.
17.17;civil society partnerships;subject;The target's own words.
17.18;statistical capacity;subject;The target's own subject.
17.18;disaggregated data;subject;The target's own words.
17.19;measurements of progress beyond GDP;subject;The target's own subject.
